,dispersion ratio,generate level,solar elevation,predict
68江庄村12,0.068,0.974755,31.45183,0.0
68江庄村13,0.23,1.0,30.43291,1.0
68江庄村14,0.2,0.915076,26.20838,1.0
68江庄村15,0.151,0.803081,19.36153,1.0
69孔集村8,0.52,0.881481,6.672896,1.0
69孔集村9,0.037,0.801347,16.04612,0.0
69孔集村10,0.024,0.887025,23.7448,0.0
69孔集村11,0.027,1.0,29.10128,0.0
69孔集村12,0.02,0.99007,31.45183,0.0
69孔集村13,0.021,0.951239,30.43291,0.0
69孔集村14,0.021,0.899471,26.20838,0.0
69孔集村15,0.08,0.789386,19.36153,0.0
70东唐村8,0.163,0.966667,6.672896,1.0
70东唐村9,0.106,0.878788,16.04612,0.0
70东唐村10,0.051,0.972746,23.7448,0.0
70东唐村11,0.045,0.97479,29.10128,0.0
70东唐村12,0.047,0.980676,31.45183,0.0
70东唐村13,0.057,0.938849,30.43291,0.0
70东唐村14,0.147,0.986395,26.20838,1.0
70东唐村15,0.195,0.865672,19.36153,1.0
71北石硖村8,0.289,0.0,6.672896,1.0
71北石硖村9,0.209,0.936027,16.04612,1.0
